[2025-05-19T06:47:20.377+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-19T06:47:20.385+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: csv_to_parquet.kafka_consumer scheduled__2025-05-19T06:02:00+00:00 [queued]>
[2025-05-19T06:47:20.390+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: csv_to_parquet.kafka_consumer scheduled__2025-05-19T06:02:00+00:00 [queued]>
[2025-05-19T06:47:20.390+0000] {taskinstance.py:2865} INFO - Starting attempt 6 of 7
[2025-05-19T06:47:20.395+0000] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): kafka_consumer> on 2025-05-19 06:02:00+00:00
[2025-05-19T06:47:20.398+0000] {standard_task_runner.py:72} INFO - Started process 504 to run task
[2025-05-19T06:47:20.400+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'csv_to_parquet', 'kafka_consumer', 'scheduled__2025-05-19T06:02:00+00:00', '--job-id', '23', '--raw', '--subdir', 'DAGS_FOLDER/csv_to_parquet.py', '--cfg-path', '/tmp/tmpiggxvlxq']
[2025-05-19T06:47:20.401+0000] {standard_task_runner.py:105} INFO - Job 23: Subtask kafka_consumer
[2025-05-19T06:47:20.426+0000] {task_command.py:467} INFO - Running <TaskInstance: csv_to_parquet.kafka_consumer scheduled__2025-05-19T06:02:00+00:00 [running]> on host 8b6a4ce3396b
[2025-05-19T06:47:20.565+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='csv_to_parquet' AIRFLOW_CTX_TASK_ID='kafka_consumer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-19T06:02:00+00:00' AIRFLOW_CTX_TRY_NUMBER='6' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-19T06:02:00+00:00'
[2025-05-19T06:47:20.565+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-19T06:47:20.572+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-2.2.7, node_id=bootstrap-0 host=host.docker.internal:9092 <connecting> [IPv4 ('192.168.65.254', 9092)]>: connecting to host.docker.internal:9092 [('192.168.65.254', 9092) IPv4]
[2025-05-19T06:47:20.575+0000] {conn.py:618} INFO - <BrokerConnection client_id=kafka-python-2.2.7, node_id=bootstrap-0 host=host.docker.internal:9092 <checking_api_versions_recv> [IPv4 ('192.168.65.254', 9092)]>: Broker version identified as 2.6
[2025-05-19T06:47:20.575+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-2.2.7, node_id=bootstrap-0 host=host.docker.internal:9092 <connected> [IPv4 ('192.168.65.254', 9092)]>: Connection complete.
[2025-05-19T06:47:20.576+0000] {subscription_state.py:177} INFO - Updating subscribed topics to: ('***test',)
[2025-05-19T06:47:20.576+0000] {logging_mixin.py:190} INFO - ✅ Consumer started, waiting for messages...
[2025-05-19T06:47:20.578+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-2.2.7, node_id=1 host=172.16.24.224:9092 <connecting> [IPv4 ('172.16.24.224', 9092)]>: connecting to 172.16.24.224:9092 [('172.16.24.224', 9092) IPv4]
[2025-05-19T06:47:20.681+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-2.2.7, node_id=1 host=172.16.24.224:9092 <connected> [IPv4 ('172.16.24.224', 9092)]>: Connection complete.
[2025-05-19T06:47:20.681+0000] {conn.py:945} INFO - <BrokerConnection client_id=kafka-python-2.2.7, node_id=bootstrap-0 host=host.docker.internal:9092 <connected> [IPv4 ('192.168.65.254', 9092)]>: Closing connection. 
[2025-05-19T06:47:20.789+0000] {cluster.py:400} INFO - Coordinator for group/testt is ('coordinator-1', '172.16.24.224', 9092, None)
[2025-05-19T06:47:20.791+0000] {base.py:769} INFO - Discovered coordinator coordinator-1 for group testt
[2025-05-19T06:47:20.792+0000] {base.py:820} INFO - Starting new heartbeat thread
[2025-05-19T06:47:20.793+0000] {consumer.py:362} INFO - Revoking previously assigned partitions () for group testt
[2025-05-19T06:47:20.795+0000] {conn.py:396} INFO - <BrokerConnection client_id=kafka-python-2.2.7, node_id=coordinator-1 host=172.16.24.224:9092 <connecting> [IPv4 ('172.16.24.224', 9092)]>: connecting to 172.16.24.224:9092 [('172.16.24.224', 9092) IPv4]
[2025-05-19T06:47:20.897+0000] {conn.py:457} INFO - <BrokerConnection client_id=kafka-python-2.2.7, node_id=coordinator-1 host=172.16.24.224:9092 <connected> [IPv4 ('172.16.24.224', 9092)]>: Connection complete.
[2025-05-19T06:47:20.998+0000] {base.py:524} INFO - (Re-)joining group testt
[2025-05-19T06:47:21.006+0000] {base.py:524} INFO - (Re-)joining group testt
[2025-05-19T06:47:24.013+0000] {base.py:587} INFO - Elected group leader -- performing partition assignments using range
[2025-05-19T06:47:24.018+0000] {base.py:401} INFO - Successfully joined group testt with generation 1
[2025-05-19T06:47:24.018+0000] {subscription_state.py:246} INFO - Updated partition assignment: [('***test', 0)]
[2025-05-19T06:47:24.019+0000] {consumer.py:249} INFO - Setting newly assigned partitions (('***test', 0),) for group testt
[2025-05-19T06:47:24.020+0000] {fetcher.py:413} INFO - Resetting offset for partition ('***test', 0) to offset 0.
[2025-05-19T06:47:24.033+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from instagram at 2025-05-19T06:37:05.537493
[2025-05-19T06:47:24.033+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from instagram at 2025-05-19T06:37:05.705276
[2025-05-19T06:47:24.033+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from youtube at 2025-05-19T06:37:05.757467
[2025-05-19T06:47:24.033+0000] {logging_mixin.py:190} INFO - 📥 Received: movie_click from naver at 2025-05-19T06:37:05.813526
[2025-05-19T06:47:24.033+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from youtube at 2025-05-19T06:37:05.865271
[2025-05-19T06:47:24.033+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from naver at 2025-05-19T06:37:05.918289
[2025-05-19T06:47:24.033+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from naver at 2025-05-19T06:37:05.972126
[2025-05-19T06:47:24.034+0000] {logging_mixin.py:190} INFO - 📥 Received: movie_click from youtube at 2025-05-19T06:37:06.027009
[2025-05-19T06:47:24.034+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from youtube at 2025-05-19T06:37:06.085345
[2025-05-19T06:47:24.034+0000] {logging_mixin.py:190} INFO - 📥 Received: movie_click from naver at 2025-05-19T06:37:06.139879
[2025-05-19T06:47:24.034+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from youtube at 2025-05-19T06:37:06.193278
[2025-05-19T06:47:24.034+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from naver at 2025-05-19T06:37:06.248013
[2025-05-19T06:47:24.034+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from naver at 2025-05-19T06:37:06.305419
[2025-05-19T06:47:24.034+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from naver at 2025-05-19T06:37:06.359840
[2025-05-19T06:47:24.034+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from instagram at 2025-05-19T06:37:06.417879
[2025-05-19T06:47:24.035+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from naver at 2025-05-19T06:37:06.475321
[2025-05-19T06:47:24.035+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from naver at 2025-05-19T06:37:06.530704
[2025-05-19T06:47:24.035+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from naver at 2025-05-19T06:37:06.585531
[2025-05-19T06:47:24.035+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from instagram at 2025-05-19T06:37:06.639337
[2025-05-19T06:47:24.035+0000] {logging_mixin.py:190} INFO - 📥 Received: movie_click from youtube at 2025-05-19T06:37:06.693029
[2025-05-19T06:47:24.035+0000] {logging_mixin.py:190} INFO - 📥 Received: ad_click from youtube at 2025-05-19T06:37:06.750264
[2025-05-19T06:47:24.035+0000] {logging_mixin.py:190} INFO - 📥 Received: movie_click from naver at 2025-05-19T06:37:06.805316
[2025-05-19T06:47:24.035+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from naver at 2025-05-19T06:37:06.858803
[2025-05-19T06:47:24.035+0000] {logging_mixin.py:190} INFO - 📥 Received: movie_click from youtube at 2025-05-19T06:37:06.915016
[2025-05-19T06:47:24.036+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from youtube at 2025-05-19T06:37:06.972023
[2025-05-19T06:47:24.036+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from instagram at 2025-05-19T06:37:07.027929
[2025-05-19T06:47:24.036+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from youtube at 2025-05-19T06:37:07.083780
[2025-05-19T06:47:24.036+0000] {logging_mixin.py:190} INFO - 📥 Received: movie_click from youtube at 2025-05-19T06:37:07.140477
[2025-05-19T06:47:24.036+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from youtube at 2025-05-19T06:37:07.199359
[2025-05-19T06:47:24.036+0000] {logging_mixin.py:190} INFO - 📥 Received: like_click from naver at 2025-05-19T06:37:07.253259
[2025-05-19T06:47:24.036+0000] {logging_mixin.py:190} INFO - 📥 Received: play_start from naver at 2025-05-19T06:37:07.309854
[2025-05-19T06:47:24.036+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from instagram at 2025-05-19T06:37:07.361304
[2025-05-19T06:47:24.036+0000] {logging_mixin.py:190} INFO - 📥 Received: movie_click from naver at 2025-05-19T06:37:07.413492
[2025-05-19T06:47:24.037+0000] {logging_mixin.py:190} INFO - 📥 Received: movie_click from naver at 2025-05-19T06:37:07.468778
[2025-05-19T06:47:24.037+0000] {logging_mixin.py:190} INFO - 📥 Received: play_complete from youtube at 2025-05-19T06:37:07.523271
