[2025-05-22T10:33:20.852+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-22T10:33:20.857+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: kafka_to_minio_to_spark.check_minio_file scheduled__2025-05-21T16:00:00+00:00 [queued]>
[2025-05-22T10:33:20.860+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: kafka_to_minio_to_spark.check_minio_file scheduled__2025-05-21T16:00:00+00:00 [queued]>
[2025-05-22T10:33:20.860+0000] {taskinstance.py:2865} INFO - Starting attempt 7 of 8
[2025-05-22T10:33:20.864+0000] {taskinstance.py:2888} INFO - Executing <Task(S3KeySensor): check_minio_file> on 2025-05-21 16:00:00+00:00
[2025-05-22T10:33:20.866+0000] {standard_task_runner.py:72} INFO - Started process 223 to run task
[2025-05-22T10:33:20.867+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'kafka_to_minio_to_spark', 'check_minio_file', 'scheduled__2025-05-21T16:00:00+00:00', '--job-id', '232', '--raw', '--subdir', 'DAGS_FOLDER/testlog_ml.py', '--cfg-path', '/tmp/tmp894nt04b']
[2025-05-22T10:33:20.868+0000] {standard_task_runner.py:105} INFO - Job 232: Subtask check_minio_file
[2025-05-22T10:33:20.885+0000] {task_command.py:467} INFO - Running <TaskInstance: kafka_to_minio_to_spark.check_minio_file scheduled__2025-05-21T16:00:00+00:00 [running]> on host fb2b30c0fd51
[2025-05-22T10:33:20.908+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='kafka_to_minio_to_spark' AIRFLOW_CTX_TASK_ID='check_minio_file' AIRFLOW_CTX_EXECUTION_DATE='2025-05-21T16:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='7' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-21T16:00:00+00:00'
[2025-05-22T10:33:20.909+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-22T10:33:20.913+0000] {baseoperator.py:405} WARNING - S3KeySensor.execute cannot be called outside TaskInstance!
[2025-05-22T10:33:20.913+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:33:20.917+0000] {base.py:84} INFO - Retrieving connection 'minio'
[2025-05-22T10:33:20.917+0000] {connection_wrapper.py:388} INFO - AWS Connection (conn_id='minio', conn_type='aws') credentials retrieved from login and password.
[2025-05-22T10:33:26.105+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:33:31.130+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:33:36.156+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:33:41.178+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:33:46.208+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:33:51.228+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:33:56.251+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:34:01.272+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:34:06.300+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:34:11.323+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:34:16.345+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:34:21.369+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:34:26.392+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:34:31.423+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:34:36.446+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:34:41.468+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:34:46.498+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:34:51.510+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:34:56.534+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:35:01.550+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:35:06.568+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:35:11.587+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:35:16.609+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:35:21.629+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:35:26.646+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:35:31.665+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
[2025-05-22T10:35:36.694+0000] {s3.py:118} INFO - Poking for key : s3://user-log-ml/2025-05-21_*.csv
