[2025-05-22T10:29:53.185+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-22T10:29:53.191+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: kafka_to_minio_to_spark.kafka_consumer scheduled__2025-05-21T16:00:00+00:00 [queued]>
[2025-05-22T10:29:53.194+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: kafka_to_minio_to_spark.kafka_consumer scheduled__2025-05-21T16:00:00+00:00 [queued]>
[2025-05-22T10:29:53.194+0000] {taskinstance.py:2865} INFO - Starting attempt 13 of 15
[2025-05-22T10:29:53.198+0000] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): kafka_consumer> on 2025-05-21 16:00:00+00:00
[2025-05-22T10:29:53.200+0000] {standard_task_runner.py:72} INFO - Started process 135 to run task
[2025-05-22T10:29:53.202+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'kafka_to_minio_to_spark', 'kafka_consumer', 'scheduled__2025-05-21T16:00:00+00:00', '--job-id', '227', '--raw', '--subdir', 'DAGS_FOLDER/testlog_ml.py', '--cfg-path', '/tmp/tmpae91gwuk']
[2025-05-22T10:29:53.202+0000] {standard_task_runner.py:105} INFO - Job 227: Subtask kafka_consumer
[2025-05-22T10:29:53.222+0000] {task_command.py:467} INFO - Running <TaskInstance: kafka_to_minio_to_spark.kafka_consumer scheduled__2025-05-21T16:00:00+00:00 [running]> on host fb2b30c0fd51
[2025-05-22T10:29:53.247+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='kafka_to_minio_to_spark' AIRFLOW_CTX_TASK_ID='kafka_consumer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-21T16:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='13' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-21T16:00:00+00:00'
[2025-05-22T10:29:53.248+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-22T10:29:53.253+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=3.34.144.17:9092 <connecting> [IPv4 ('3.34.144.17', 9092)]>: connecting to 3.34.144.17:9092 [('3.34.144.17', 9092) IPv4]
[2025-05-22T10:29:53.253+0000] {conn.py:1205} INFO - Probing node bootstrap-0 broker version
[2025-05-22T10:29:53.260+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=3.34.144.17:9092 <connecting> [IPv4 ('3.34.144.17', 9092)]>: Connection complete.
[2025-05-22T10:29:53.374+0000] {conn.py:1267} INFO - Broker version identified as 2.5.0
[2025-05-22T10:29:53.375+0000] {conn.py:1268} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2025-05-22T10:29:53.375+0000] {subscription_state.py:171} INFO - Updating subscribed topics to: ('userlog',)
[2025-05-22T10:29:53.376+0000] {logging_mixin.py:190} INFO - ✅ consumer started, waiting for messages....
[2025-05-22T10:29:53.383+0000] {cluster.py:371} INFO - Group coordinator for ec2 is ('coordinator-1', '3.34.144.17', 9092, None)
[2025-05-22T10:29:53.384+0000] {base.py:693} INFO - Discovered coordinator coordinator-1 for group ec2
[2025-05-22T10:29:53.384+0000] {base.py:741} INFO - Starting new heartbeat thread
[2025-05-22T10:29:53.385+0000] {consumer.py:348} INFO - Revoking previously assigned partitions () for group ec2
[2025-05-22T10:29:53.385+0000] {conn.py:380} INFO - <BrokerConnection node_id=coordinator-1 host=3.34.144.17:9092 <connecting> [IPv4 ('3.34.144.17', 9092)]>: connecting to 3.34.144.17:9092 [('3.34.144.17', 9092) IPv4]
[2025-05-22T10:29:53.488+0000] {conn.py:410} INFO - <BrokerConnection node_id=coordinator-1 host=3.34.144.17:9092 <connecting> [IPv4 ('3.34.144.17', 9092)]>: Connection complete.
[2025-05-22T10:29:53.488+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=3.34.144.17:9092 <connected> [IPv4 ('3.34.144.17', 9092)]>: Closing connection. 
[2025-05-22T10:29:53.594+0000] {base.py:450} INFO - (Re-)joining group ec2
[2025-05-22T10:29:56.713+0000] {base.py:521} INFO - Elected group leader -- performing partition assignments using range
[2025-05-22T10:29:56.716+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=3.34.144.17:9092 <connecting> [IPv4 ('3.34.144.17', 9092)]>: connecting to 3.34.144.17:9092 [('3.34.144.17', 9092) IPv4]
[2025-05-22T10:29:56.724+0000] {base.py:335} INFO - Successfully joined group ec2 with generation 1
[2025-05-22T10:29:56.725+0000] {subscription_state.py:257} INFO - Updated partition assignment: [('userlog', 0)]
[2025-05-22T10:29:56.726+0000] {consumer.py:245} INFO - Setting newly assigned partitions (('userlog', 0),) for group ec2
[2025-05-22T10:29:56.727+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=3.34.144.17:9092 <connecting> [IPv4 ('3.34.144.17', 9092)]>: Connection complete.
[2025-05-22T10:29:56.916+0000] {logging_mixin.py:190} INFO - *********************************
[2025-05-22T10:29:56.917+0000] {logging_mixin.py:190} INFO - *********************************
[2025-05-22T10:29:56.917+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:56.942+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:56.951+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:56.959+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:56.967+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:56.976+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:56.985+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:56.992+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.002+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.012+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:57.022+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:57.031+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.045+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.055+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:57.065+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:57.072+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.082+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.090+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.098+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:57.106+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.118+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.127+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.138+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.150+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.161+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:57.173+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.185+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.194+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.204+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.214+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:29:57.227+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.237+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:29:57.249+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
