[2025-05-22T10:51:31.662+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-22T10:51:31.667+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: kafka_to_minio_to_spark.kafka_consumer scheduled__2025-05-21T16:00:00+00:00 [queued]>
[2025-05-22T10:51:31.670+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: kafka_to_minio_to_spark.kafka_consumer scheduled__2025-05-21T16:00:00+00:00 [queued]>
[2025-05-22T10:51:31.670+0000] {taskinstance.py:2865} INFO - Starting attempt 14 of 16
[2025-05-22T10:51:31.674+0000] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): kafka_consumer> on 2025-05-21 16:00:00+00:00
[2025-05-22T10:51:31.677+0000] {standard_task_runner.py:72} INFO - Started process 82 to run task
[2025-05-22T10:51:31.679+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'kafka_to_minio_to_spark', 'kafka_consumer', 'scheduled__2025-05-21T16:00:00+00:00', '--job-id', '237', '--raw', '--subdir', 'DAGS_FOLDER/testlog_ml.py', '--cfg-path', '/tmp/tmpk_k9czq9']
[2025-05-22T10:51:31.679+0000] {standard_task_runner.py:105} INFO - Job 237: Subtask kafka_consumer
[2025-05-22T10:51:31.699+0000] {task_command.py:467} INFO - Running <TaskInstance: kafka_to_minio_to_spark.kafka_consumer scheduled__2025-05-21T16:00:00+00:00 [running]> on host b589638bb236
[2025-05-22T10:51:31.725+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='kafka_to_minio_to_spark' AIRFLOW_CTX_TASK_ID='kafka_consumer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-21T16:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='14' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-21T16:00:00+00:00'
[2025-05-22T10:51:31.726+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-22T10:51:31.731+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=3.34.144.17:9092 <connecting> [IPv4 ('3.34.144.17', 9092)]>: connecting to 3.34.144.17:9092 [('3.34.144.17', 9092) IPv4]
[2025-05-22T10:51:31.731+0000] {conn.py:1205} INFO - Probing node bootstrap-0 broker version
[2025-05-22T10:51:31.740+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=3.34.144.17:9092 <connecting> [IPv4 ('3.34.144.17', 9092)]>: Connection complete.
[2025-05-22T10:51:31.858+0000] {conn.py:1267} INFO - Broker version identified as 2.5.0
[2025-05-22T10:51:31.858+0000] {conn.py:1268} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2025-05-22T10:51:31.859+0000] {subscription_state.py:171} INFO - Updating subscribed topics to: ('userlog',)
[2025-05-22T10:51:31.859+0000] {logging_mixin.py:190} INFO - ✅ consumer started, waiting for messages....
[2025-05-22T10:51:31.868+0000] {cluster.py:371} INFO - Group coordinator for kafka is ('coordinator-1', '3.34.144.17', 9092, None)
[2025-05-22T10:51:31.868+0000] {base.py:693} INFO - Discovered coordinator coordinator-1 for group kafka
[2025-05-22T10:51:31.868+0000] {base.py:741} INFO - Starting new heartbeat thread
[2025-05-22T10:51:31.869+0000] {consumer.py:348} INFO - Revoking previously assigned partitions () for group kafka
[2025-05-22T10:51:31.869+0000] {conn.py:380} INFO - <BrokerConnection node_id=coordinator-1 host=3.34.144.17:9092 <connecting> [IPv4 ('3.34.144.17', 9092)]>: connecting to 3.34.144.17:9092 [('3.34.144.17', 9092) IPv4]
[2025-05-22T10:51:31.972+0000] {conn.py:410} INFO - <BrokerConnection node_id=coordinator-1 host=3.34.144.17:9092 <connecting> [IPv4 ('3.34.144.17', 9092)]>: Connection complete.
[2025-05-22T10:51:31.974+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=3.34.144.17:9092 <connected> [IPv4 ('3.34.144.17', 9092)]>: Closing connection. 
[2025-05-22T10:51:32.076+0000] {base.py:450} INFO - (Re-)joining group kafka
[2025-05-22T10:51:35.089+0000] {base.py:521} INFO - Elected group leader -- performing partition assignments using range
[2025-05-22T10:51:35.093+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=3.34.144.17:9092 <connecting> [IPv4 ('3.34.144.17', 9092)]>: connecting to 3.34.144.17:9092 [('3.34.144.17', 9092) IPv4]
[2025-05-22T10:51:35.102+0000] {base.py:335} INFO - Successfully joined group kafka with generation 1
[2025-05-22T10:51:35.104+0000] {subscription_state.py:257} INFO - Updated partition assignment: [('userlog', 0)]
[2025-05-22T10:51:35.105+0000] {consumer.py:245} INFO - Setting newly assigned partitions (('userlog', 0),) for group kafka
[2025-05-22T10:51:35.106+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=3.34.144.17:9092 <connecting> [IPv4 ('3.34.144.17', 9092)]>: Connection complete.
[2025-05-22T10:51:35.454+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.463+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.471+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.478+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.486+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:51:35.496+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.506+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.514+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.521+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.529+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:51:35.539+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:51:35.551+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.567+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.577+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:51:35.587+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:51:35.598+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.608+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.617+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.627+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:51:35.637+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.648+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.659+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.670+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.682+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.692+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:51:35.703+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.713+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.725+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.735+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.744+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:51:35.754+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.766+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T10:51:35.778+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T10:51:35.793+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
