[2025-05-22T00:07:40.524+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-05-22T00:07:40.530+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: kafka_to_minio_to_spark.kafka_consumer scheduled__2025-05-21T16:00:00+00:00 [queued]>
[2025-05-22T00:07:40.533+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: kafka_to_minio_to_spark.kafka_consumer scheduled__2025-05-21T16:00:00+00:00 [queued]>
[2025-05-22T00:07:40.533+0000] {taskinstance.py:2865} INFO - Starting attempt 4 of 6
[2025-05-22T00:07:40.537+0000] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): kafka_consumer> on 2025-05-21 16:00:00+00:00
[2025-05-22T00:07:40.539+0000] {standard_task_runner.py:72} INFO - Started process 339 to run task
[2025-05-22T00:07:40.541+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'kafka_to_minio_to_spark', 'kafka_consumer', 'scheduled__2025-05-21T16:00:00+00:00', '--job-id', '193', '--raw', '--subdir', 'DAGS_FOLDER/testlog_ml.py', '--cfg-path', '/tmp/tmpealimrrb']
[2025-05-22T00:07:40.541+0000] {standard_task_runner.py:105} INFO - Job 193: Subtask kafka_consumer
[2025-05-22T00:07:40.557+0000] {task_command.py:467} INFO - Running <TaskInstance: kafka_to_minio_to_spark.kafka_consumer scheduled__2025-05-21T16:00:00+00:00 [running]> on host f901d5ffba09
[2025-05-22T00:07:40.582+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='kafka_to_minio_to_spark' AIRFLOW_CTX_TASK_ID='kafka_consumer' AIRFLOW_CTX_EXECUTION_DATE='2025-05-21T16:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='4' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-05-21T16:00:00+00:00'
[2025-05-22T00:07:40.583+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-05-22T00:07:40.658+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=host.docker.internal:9092 <connecting> [IPv4 ('192.168.65.254', 9092)]>: connecting to host.docker.internal:9092 [('192.168.65.254', 9092) IPv4]
[2025-05-22T00:07:40.658+0000] {conn.py:1205} INFO - Probing node bootstrap-0 broker version
[2025-05-22T00:07:40.659+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=host.docker.internal:9092 <connecting> [IPv4 ('192.168.65.254', 9092)]>: Connection complete.
[2025-05-22T00:07:40.762+0000] {conn.py:1267} INFO - Broker version identified as 2.5.0
[2025-05-22T00:07:40.762+0000] {conn.py:1268} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2025-05-22T00:07:40.763+0000] {subscription_state.py:171} INFO - Updating subscribed topics to: ('userlog',)
[2025-05-22T00:07:40.763+0000] {logging_mixin.py:190} INFO - ✅ consumer started, waiting for messages....
[2025-05-22T00:07:40.764+0000] {cluster.py:371} INFO - Group coordinator for to is ('coordinator-1', '172.16.24.224', 9092, None)
[2025-05-22T00:07:40.764+0000] {base.py:693} INFO - Discovered coordinator coordinator-1 for group to
[2025-05-22T00:07:40.764+0000] {base.py:741} INFO - Starting new heartbeat thread
[2025-05-22T00:07:40.765+0000] {consumer.py:348} INFO - Revoking previously assigned partitions () for group to
[2025-05-22T00:07:40.765+0000] {conn.py:380} INFO - <BrokerConnection node_id=coordinator-1 host=172.16.24.224:9092 <connecting> [IPv4 ('172.16.24.224', 9092)]>: connecting to 172.16.24.224:9092 [('172.16.24.224', 9092) IPv4]
[2025-05-22T00:07:40.866+0000] {conn.py:410} INFO - <BrokerConnection node_id=coordinator-1 host=172.16.24.224:9092 <connecting> [IPv4 ('172.16.24.224', 9092)]>: Connection complete.
[2025-05-22T00:07:40.867+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=host.docker.internal:9092 <connected> [IPv4 ('192.168.65.254', 9092)]>: Closing connection. 
[2025-05-22T00:07:40.969+0000] {base.py:450} INFO - (Re-)joining group to
[2025-05-22T00:07:43.977+0000] {base.py:521} INFO - Elected group leader -- performing partition assignments using range
[2025-05-22T00:07:43.983+0000] {conn.py:380} INFO - <BrokerConnection node_id=1 host=172.16.24.224:9092 <connecting> [IPv4 ('172.16.24.224', 9092)]>: connecting to 172.16.24.224:9092 [('172.16.24.224', 9092) IPv4]
[2025-05-22T00:07:43.996+0000] {conn.py:410} INFO - <BrokerConnection node_id=1 host=172.16.24.224:9092 <connecting> [IPv4 ('172.16.24.224', 9092)]>: Connection complete.
[2025-05-22T00:07:43.999+0000] {base.py:335} INFO - Successfully joined group to with generation 3
[2025-05-22T00:07:44.001+0000] {subscription_state.py:257} INFO - Updated partition assignment: [('userlog', 0)]
[2025-05-22T00:07:44.004+0000] {consumer.py:245} INFO - Setting newly assigned partitions (('userlog', 0),) for group to
[2025-05-22T00:07:44.228+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.250+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.252+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.254+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.255+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.256+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.257+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.258+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.259+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.260+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.260+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.261+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.262+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.263+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.264+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.265+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.265+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.266+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.267+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.268+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.268+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.269+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.270+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.271+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.271+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.272+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.273+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.274+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.274+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.275+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.276+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.276+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.277+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.278+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.279+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.279+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.280+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.281+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.282+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.282+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.283+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
[2025-05-22T00:07:44.284+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.285+0000] {logging_mixin.py:190} INFO - 📥 Received: page:main
[2025-05-22T00:07:44.285+0000] {logging_mixin.py:190} INFO - 📥 Received: page:movie_detail
